page_time_jst,scrape_time_jst,sell_kwh,buy_kwh,cons_kwh,self_kwh,gen_kwh
2025-11-11T18:24+09:00,2025-11-11T18:24+09:00,,,,,
2025-11-11T18:35+09:00,2025-11-11T18:36+09:00,,,,,18.1
2025-11-11T18:47+09:00,2025-11-11T18:47+09:00,,,,,18.1
2025-11-11T18:53+09:00,2025-11-11T18:53+09:00,,,,,18.1
2025-11-11T19:14+09:00,2025-11-11T19:15+09:00,,,,,18.1
2025-11-11T19:42+09:00,2025-11-11T19:45+09:00,,,,,18.1
2025-11-11T20:13+09:00,2025-11-11T20:13+09:00,,,,,18.1
2025-11-11T20:37+09:00,2025-11-11T20:37+09:00,,,,,18.1
2025-11-11T21:36+09:00,2025-11-11T21:36+09:00,,,,,18.1
2025-11-11T22:47+09:00,2025-11-11T22:48+09:00,,,,,18.1
2025-11-11T23:13+09:00,2025-11-11T23:13+09:00,,,,,18.1
2025-11-11T23:43+09:00,2025-11-11T23:43+09:00,,,,,18.1
2025-11-12T00:14+09:00,2025-11-12T00:14+09:00,,,,,18.1
2025-11-12T00:41+09:00,2025-11-12T00:41+09:00,,,,,
2025-11-12T01:47+09:00,2025-11-12T01:47+09:00,,,,,0.0
2025-11-12T02:12+09:00,2025-11-12T02:12+09:00,,,,,0.0
2025-11-12T02:40+09:00,2025-11-12T02:40+09:00,,,,,0.0
2025-11-12T03:48+09:00,2025-11-12T03:48+09:00,,,,,0.0
2025-11-12T04:11+09:00,2025-11-12T04:11+09:00,,,,,0.0
2025-11-12T04:35+09:00,2025-11-12T04:35+09:00,,,,,0.0
2025-11-12T05:14+09:00,2025-11-12T05:14+09:00,,,,,0.0
2025-11-12T05:40+09:00,2025-11-12T05:40+09:00,,,,,0.0
2025-11-12T06:14+09:00,2025-11-12T06:14+09:00,,,,,0.0
2025-11-12T06:36+09:00,2025-11-12T06:36+09:00,,,,,0.0
2025-11-12T07:12+09:00,2025-11-12T07:13+09:00,,,,,0.0
2025-11-12T07:40+09:00,2025-11-12T07:40+09:00,,,,,0.0
2025-11-12T08:12+09:00,2025-11-12T08:12+09:00,,,,,1.4
2025-11-12T08:37+09:00,2025-11-12T08:37+09:00,,,,,1.4
2025-11-12T10:02+09:00,2025-11-12T10:02+09:00,,,,,
2025-11-12T11:42+09:00,2025-11-12T11:44+09:00,,,,,9.9
2025-11-12T12:44+09:00,2025-11-12T12:44+09:00,,,,,12.2
2025-11-12T13:24+09:00,2025-11-12T13:24+09:00,,,,,13.4
2025-11-12T13:46+09:00,2025-11-12T13:46+09:00,,,,,14.5
2025-11-12T14:20+09:00,2025-11-12T14:20+09:00,,,,,15.6
2025-11-12T14:43+09:00,2025-11-12T14:43+09:00,,,,,16.3
2025-11-12T15:30+09:00,2025-11-12T15:30+09:00,,,,,16.9
2025-11-12T15:38+09:00,2025-11-12T15:38+09:00,,,,,16.9
2025-11-12T16:19+09:00,2025-11-12T16:20+09:00,,,,,17.8
2025-11-12T16:40+09:00,2025-11-12T16:41+09:00,,,,,17.9
